Jobtitle,City,Date,Company,Skills,Profesion,Education,Salary,Jobs,Candidates,Copy
['Administrador/a de seguridad y frontales'],Madrid,31/10/2024,CAS TRAINING,"['palo alto', 'forcepoint', 'f5']",Ciberseguridad,Universidad,24000.0,1,1,2024/11/03
['Analista desarrollador/a PL/SQL'],Online,31/10/2024,CAS TRAINING,"['sql', 'oracle', 'pl/sql']",Analista Programador,Universidad,30000.0,1,19,2024/11/03
"['Data Engineer (Python, Spark, Scala)']",Madrid,31/10/2024,CAS TRAINING,"['git', 'jenkins', 'sonar', 'python', 'spark', 'scala', 'azure', 'api', 'cloud']",Big Data,Universidad,31500.0,1,3,2024/11/03
['Consultor/a Técnico Big Data. Remoto'],Online,31/10/2024,Quental,"['sql', 'python', 'etl']",Big Data,Universidad,30000.0,1,9,2024/11/03
['Arquitecto/a Identidad cloud'],Online,31/10/2024,CAS TRAINING,"['cloud', 'azure', 'aws', 'gcp', 'microsoft 365', 'directorio activo', 'oauth']",Arquitecto TIC,Universidad,40500.0,2,2,2024/11/03
['Ingeniero/a de redes'],Online,31/10/2024,Serem,"['redes', 'vpn', 'proxy', 'nexus']",Redes,GS,no disponible,1,17,2024/11/03
['Responsable GRC'],Bizkaia,31/10/2024,HAYS,"['grc', 'ciberseguridad']",Ciberseguridad,No disponible,no disponible,1,2,2024/11/03
['Programadores Vuejs'],Online,31/10/2024,Seltime,"['vue.js', 'gcp']",Analista Programador,GS,no disponible,4,36,2024/11/03
['Operador/a de Sistemas 24x7'],Barcelona,31/10/2024,Digital Talent Agency,['sistemas'],Técnico de Sistemas,No disponible,no disponible,1,0,2024/11/03
['Consultor/a de Monitorización'],Online,31/10/2024,CAS TRAINING,"['dynatrace', 'elk', 'git']",Consultor,GS,30000.0,2,2,2024/11/03
['Analista Funcional Cobol (Vida y/o Tarjetas)'],Online,31/10/2024,Grupo NS,"['cobol', 'cics', 'db2']",Analista,GS,42000.0,1,8,2024/11/03
['Project Manager OSS sector Telco'],Madrid,31/10/2024,Grupo NS,['pmp'],Jefe de Proyecto,GS,43500.0,1,4,2024/11/03
['Data Engineer Python/AWS'],Online,31/10/2024,Grupo NS,"['python', 'aws']",Big Data,GS,no disponible,1,5,2024/11/03
['Experto RPG'],Madrid,31/10/2024,Grupo NS,"['rpg', 'sql', 'aws']",Programador,GS,no disponible,1,2,2024/11/03
['Java Developer'],Barcelona,31/10/2024,Social You,"['java', 'aws', 'camel', 'spring', 'git', 'docker', '.net', 'microservicios', 'ci/cd', 'api']",Analista Programador,GS,48000.0,1,36,2024/11/03
['Analista Funcional SAP (SuccessFactors)'],Online,31/10/2024,Serem,['sap'],Analista,Universidad,43500.0,1,1,2024/11/03
['Programadores Angular/.NET'],Madrid,31/10/2024,Seltime,"['sql', 'angular', 'git', '.net', 'react', 'sql server', 'iso']",Analista,GS,28500.0,6,11,2024/11/03
['Analista Programador Vue.js/.Net'],Online,31/10/2024,Krell Consulting & Training,"['vue.js', '.net', 'javascript']",Analista Programador,GM,28500.0,1,8,2024/11/03
['Consultor/a Control-M'],Madrid,31/10/2024,CAS TRAINING,['control m'],Administrador,Universidad,40500.0,1,3,2024/11/03
['POWER Bi Specialist'],Online,31/10/2024,Grupo Digital,['power bi'],Big Data,Universidad,no disponible,1,25,2024/11/03
['Científico de IA'],Online,31/10/2024,Serem,"['python', 'azure', 'git', 'data', 'ci/cd', 'rest']",Inteligencia Artificial/Machine Learning,GS,no disponible,1,12,2024/11/03
['Senior Azure Data Engineer'],Online,31/10/2024,NPR Spain,"['azure', 'etl', 'aws', 'cloud', 'python', 'sql']",Big Data,GM,no disponible,1,33,2024/11/03
['TÃ©cnico HelpDesk'],Sevilla,31/10/2024,TRS Staffing Solutions,['ticketing'],Helpdesk,No disponible,no disponible,1,21,2024/11/03
['DBA Oracle. Linux. Remoto'],Online,31/10/2024,Grupo NS,"['oracle', 'linux', 'oci oracle']",Base de Datos/DBA,GS,no disponible,1,13,2024/11/03
['Maintenance Supervisor Data Center'],Madrid,31/10/2024,HAYS,['data center'],Soporte Técnico,No disponible,no disponible,1,2,2024/11/03
['Técnico de Soporte'],Las Palmas De Gran Canaria,31/10/2024,Page Personnel,"['soporte', 'microinformatica']",Soporte Técnico,No disponible,no disponible,1,10,2024/11/03
['Project Manager Data Center'],Madrid,31/10/2024,HAYS,['project manager'],Jefe de Proyecto,No disponible,no disponible,1,3,2024/11/03
['Técnico de Automatización'],Madrid,31/10/2024,HAYS,"['electronica', 'rpa', 'power platform']",Electrónica,No disponible,no disponible,1,9,2024/11/03
['Programador Vuejs'],Online,31/10/2024,PANEL Sistemas Informáticos,"['java', 'javascript', '.net', 'vue.js', 'jpa']",Analista Programador,GS,no disponible,1,14,2024/11/03
['TÃ©cnico/a sistemas Linux con Ansible'],Madrid,30/10/2024,Serbyte Servicios IT,"['linux', 'ansible']",TÃ©cnico de Sistemas,No disponible,no disponible,1,14,2024/11/03
['Consultor/a de Negocio en eTrading'],Madrid,30/10/2024,Serem,"['ion', 'etrading']",Consultor,ESO,no disponible,1,0,2024/11/03
['Prácticas: Algoritmos GNSS'],Madrid,25/10/2024,GMV,"['python', 'c plus']",Programador,No disponible,no disponible,1,24,2024/11/03
['TÃ©cnico/a Microinformatica'],Melilla,24/10/2024,Grupo Sermicro,"['microinformatica', 'linux', 'windows', 'microsoft', 'windows server', 'ios', 'ticketing']",Soporte TÃ©cnico,No disponible,no disponible,1,12,2024/11/03
['Tﾃｩcnicos de Software Configuradores'],Madrid,18/10/2024,Invoin,"['sql', 'python', 'php', 'jenkins', 'base de datos', 'bat']",Tﾃｩcnico Software,No disponible,no disponible,1,80,2024/11/03
['TÃ©cnico Senior .NET'],Madrid,24/05/2024,Apolo IT Group,"['.net', 'asp', 'mvc']",Desarrollador Web,No disponible,no disponible,1,223,2024/11/03
['TÃ©cnico de Sistemas'],Valencia,03/10/2023,The Whiteam,"['san', 'iscsi', 'nfs', 'vmware', 'hyper v', 'windows', 'linux', 'azure']",TÃ©cnico de Sistemas,No disponible,no disponible,1,231,2024/11/03
"['Urgente', 'Técnico de Soporte Nivel 2 (Junior)']",Barcelona,17/11/2024Nueva,Conecta Wireless,"['cisco ccna', '3cx', 'juniper junos', 'linux']",Soporte Técnico,GS,no disponible,1,2,2024/11/17
['Ingeniero/a de Diseño Electrónico'],Madrid,17/11/2024Nueva,GMV,"['pcb', 'fpga', 'adc', 'dac', 'spice']",Electrónica,No disponible,no disponible,1,1,2024/11/17
['Ingeniero de desarrollo de Simuladores'],Madrid,17/11/2024Nueva,GMV,"['c', 'c plus', 'linux os', 'git']",Programador,No disponible,no disponible,2,0,2024/11/17
['Programador/a Senior Java con SCRUM'],Online,16/11/2024,Serem,"['java', 'spring', 'angular', 'scrum', 'rest', 'soporte', 'itil']",Analista Programador,Universidad,no disponible,1,17,2024/11/17
['Administrador DB2 - Banca y Seguros'],Online,16/11/2024,PANEL Sistemas Informáticos,"['db2', 'linux', 'windows']",Base de Datos/DBA,Universidad,no disponible,1,14,2024/11/17
['Analista Cobol DB2'],Online,16/11/2024,CMV Consultores,"['cobol', 'db2', 'jcl', 'cisa']",Analista,GS,no disponible,1,15,2024/11/17
['Desarrollador/a APX'],Online,16/11/2024,CMV Consultores,"['java', 'apx', 'aso']",Programador,GS,no disponible,3,20,2024/11/17
['Técnico Cloud'],Online,16/11/2024,TRS Staffing Solutions,"['linux', 'windows']",Administrador,Universidad,no disponible,1,26,2024/11/17
['POWER BI + POWER APPs developer'],Online,16/11/2024,Grupo Digital,"['power bi', 'power apps']",Programador,Universidad,no disponible,1,21,2024/11/17
['Junior Game Economist'],Barcelona,17/11/2024,Aristocrat,"['sql', 'python', 'r']",Técnico de Gestión,No disponible,no disponible,1,7,2024/11/17
['Technical Services Manager'],Barcelona,17/11/2024,Aristocrat,['kpi'],Jefe de Equipo,No disponible,no disponible,1,2,2024/11/17
['Analista Programador/a Host'],Online,17/11/2024,Tuyú Technology,"['host', 'ibm']",Analista Programador,GS,25500.0,1,7,2024/11/17
['CRM Manager'],Barcelona,17/11/2024,Aristocrat,"['iterable', 'braze', 'looker']",Jefe de Equipo,No disponible,no disponible,1,0,2024/11/17
['Order Fulfilment Operator - Stores'],Barcelona,17/11/2024,Aristocrat,['excel'],Administrativo,No disponible,no disponible,1,1,2024/11/17
['Business Development Associate - French'],Barcelona,17/11/2024,Aristocrat,['marketing'],Comercial,No disponible,no disponible,1,3,2024/11/17
['Senior Product Manager - Casino'],Barcelona,17/11/2024,Aristocrat,['microsoft d365'],Responsable de Producto,No disponible,no disponible,1,1,2024/11/17
['COE Lead EMEA'],Barcelona,17/11/2024,Aristocrat,['salesforce'],Técnico de Gestión,No disponible,no disponible,1,1,2024/11/17
['Senior Game Economy Manager'],Barcelona,17/11/2024,Aristocrat,"['sql', 'python', 'r']",Analista,No disponible,no disponible,1,1,2024/11/17
['Technical Product Owner'],Barcelona,17/11/2024,Aristocrat,['jira'],Responsable de Producto,No disponible,no disponible,1,4,2024/11/17
['Product Analyst'],Barcelona,17/11/2024,Aristocrat,"['sql', 'excel', 'qlikview', 'tableau', 'python']",Analista,No disponible,no disponible,1,8,2024/11/17
['Data Engineer (Python AWS)/Inglés'],Barcelona,17/11/2024,Krell Consulting & Training,"['python', 'aws']",Analista,GM,no disponible,1,0,2024/11/17
['AWS Cloud Security Engineer/ Inglés C1'],Barcelona,17/11/2024,Krell Consulting & Training,"['python', 'aws', 'cloud', 'terraform']",Técnico de Sistemas,GM,no disponible,1,0,2024/11/17
['Programador (Angular/ Java) Inglés'],Barcelona,17/11/2024,Krell Consulting & Training,"['java', 'angular']",Programador,GM,no disponible,1,1,2024/11/17
['Profesionales Webfocus (Remoto)'],Online,17/11/2024,CAS TRAINING,"['webfocus', 'powercenter', 'teradata', 'exadata', 'aws']",Programador,GS,37500.0,1,4,2024/11/17
['IT Technician'],Barcelona,16/11/2024,Page Personnel,"['soporte', 'microinformatica']",Soporte Técnico,No disponible,30000.0,1,13,2024/11/17
['Marketing Specialist'],Lleida,17/11/2024,Page Personnel,"['marketing', 'seo', 'google analytics']",Marketing,No disponible,33000.0,1,9,2024/11/17
['Ingeniero/a de sistemas UAS junior'],Madrid,17/11/2024,GMV,"['c', 'c plus']",Técnico de Sistemas,No disponible,no disponible,1,5,2024/11/17
['Ingeniero/a de software embebido'],Madrid,17/11/2024,GMV,"['c', 'c plus']",Programador,No disponible,no disponible,1,9,2024/11/17
['Data Scientist (IA Gen/LLM)'],Madrid,17/11/2024,Grupo Digital,"['data', 'machine learning', 'ia']",Big Data,Universidad,no disponible,1,7,2024/11/17
['Analista Dynatrace'],Madrid,17/11/2024,Grupo Digital,"['dynatrace', 'appdynamics']",Analista,GS,no disponible,1,1,2024/11/17
['Team Leader fullstack AWS-Angular'],Barcelona,17/11/2024,PANEL Sistemas Informáticos,"['java', 'javascript', 'aws', 'angular', 'cloud', 'typescript', 'excel', 'rest']",Analista Programador,Universidad,no disponible,1,2,2024/11/17
['Helpdesk IT'],Barcelona,16/11/2024,PSS,"['active directory', 'software', 'hardware', 'helpdesk', 'windows', 'ticketing']",Helpdesk,GS,15500.0,1,12,2024/11/17
['Data Insights & Visualization'],Barcelona,17/11/2024,Grupo Digital,"['tableau', 'power bi', 'qlik']",Big Data,GS,no disponible,1,5,2024/11/17
['Técnico/a Java Unix Shell'],Online,16/11/2024,Digital Talent Agency,"['java', 'shellscript', 'unix', 'oracle']",Programador,GS,27000.0,1,11,2024/11/17
['Analista de Observabilidad'],Madrid,17/11/2024,Grupo NS,"['dynatrace', 'python']",Analista,GS,no disponible,1,1,2024/11/17
['Data Engineer Scala Cloud Azure'],Madrid,16/11/2024,Serem,"['azure', 'api', 'cloud', 'data', 'scala', 'spark']",Analista Programador,GS,no disponible,1,4,2024/11/17
['Ingeniero/a mecánico y térmico (espacio)'],Madrid,16/11/2024,GMV,"['solidworks', 'siemens nx']",Ingenieros/Industria,No disponible,no disponible,1,7,2024/11/17
['Desarrollador/a Host Mainframe Cobol'],Online,16/11/2024,Serem,"['cobol', 'host', 'jcl', 'mainframe']",Analista Programador,GS,22500.0,1,10,2024/11/17
['Consultor SAP SD'],Online,16/11/2024,ConsulSAP,['sap'],Consultor,ESO,no disponible,1,5,2024/11/17
['Ingeniero de Seguridad y desarrollo Java'],Barcelona,16/11/2024,PANEL Sistemas Informáticos,"['java', 'sql', 'aws', 'spring', 'git', 'angular', 'postman', 'grafana', 'python', 'tdd', 'jenkins', 'docker', '.net']",Consultor,Universidad,no disponible,1,0,2024/11/17
['Consultor/a SAP HCM (PY)'],Granada,16/11/2024,Grupo Digital,['sap'],Consultor,GS,no disponible,1,1,2024/11/17
['Líder Funcional / Técnico Android'],Madrid,16/11/2024,Serem,"['java', 'kotlin', 'android', 'flutter']",Analista Programador,Universidad,no disponible,1,10,2024/11/17
['Ingeniero IAM (Inglés)'],Barcelona,16/11/2024,Krell Consulting & Training,"['iam', 'linux']",Programador,GM,66000.0,1,1,2024/11/17
['Consultor/a Dynamics CRM'],Online,16/11/2024,Krell Consulting & Training,"['dynamics', 'navision', 'java', 'javascript', '.net', 'microsoft']",Analista,ESO,no disponible,1,9,2024/11/17
['DBA Híbrido'],Madrid,16/11/2024,TRS Staffing Solutions,"['oracle', 'mysql', 'java', 'sql']",Base de Datos/DBA,GS,no disponible,1,7,2024/11/17
['Técnico/a de Campo'],Zaragoza,16/11/2024,Grupo Sermicro,"['hardware', 'software', 'redes', 'sistemas operativos']",Helpdesk,GM,no disponible,1,11,2024/11/17
['Gen AI Engineer'],Online,16/11/2024,Serem,"['gen ai', 'python', 'llm', 'git', 'nlp', 'topic modelling']",Inteligencia Artificial/Machine Learning,GS,no disponible,1,5,2024/11/17
['Analista Pro. COBOL CICS DB2 JCL'],Barcelona,16/11/2024,Incoming Domain,"['cobol', 'cics', 'db2', 'jcl']",Analista,Universidad,25500.0,6,0,2024/11/17
['Director de Departamento IT - Cloud'],Madrid,15/11/2024,Serem,['cloud'],Jefe de Equipo,Universidad,no disponible,1,3,2024/11/17
['Power BI'],Malaga,15/11/2024,Open Sistemas,"['power bi', 'sql', 'oracle', 'python']",Técnico Software,Universidad,no disponible,1,32,2024/11/17
['Arquitecto/a Appian'],Online,15/11/2024,Serem,"['appian', 'bpm', 'tibco', 'camunda', 'auraquantic']",Arquitecto TIC,GS,no disponible,1,1,2024/11/17
['Líder QA'],Madrid,15/11/2024,Serem,"['qa', 'devops']",DevOps,GS,no disponible,1,1,2024/11/17
['Analista Funcional de Software'],Madrid,15/11/2024,Serem,"['jira', 'uml', 'confluence']",Analista,Universidad,no disponible,1,6,2024/11/17
['Manager de Soluciones Cloud'],Madrid,15/11/2024,Serem,"['aws', 'azure', 'terraform', 'docker', 'git']",Jefe de Equipo,Universidad,no disponible,1,0,2024/11/17
['IT Talent Advisor'],Madrid,15/11/2024,Serem,"['excel', 'word']",Reclutador,Universidad,no disponible,1,2,2024/11/17
['Técnico/a de Soporte'],Barcelona,15/11/2024,Serem,['microinformatica'],Helpdesk,GM,18500.0,1,5,2024/11/17
['Data Modeller'],Online,15/11/2024,Grupo Digital,['data'],Consultor,Universidad,no disponible,1,12,2024/11/17
['Administrador/a SQL'],Madrid,15/11/2024,Serem,"['sql', 'ssas', 'power bi']",Base de Datos/DBA,GS,no disponible,1,10,2024/11/17
['Desarrollador/a Visual Basic .NET'],Sevilla,15/11/2024,Digital Talent Agency,"['visual basic', '.net']",Programador,No disponible,no disponible,1,11,2024/11/17
['DevOps - AWS (Big Data)'],Online,15/11/2024,Arelance,"['python', 'aws', 'cloud', 'jenkins', 'ci/cd', 'scala', 'spark', 'lan', 'grafana', 'emr', 'aws iam', 'terraform', 'cloud formation']",Big Data,No disponible,no disponible,1,9,2024/11/17
['Consultor Dynamics 365 (CRM)'],Madrid,15/11/2024,Tuyú Technology,"['dynamics 365', 'excel', 'microsoft', 'crm']",Consultor,ESO,28500.0,1,4,2024/11/17
['Lider técnico de aviónica espacial'],Madrid,15/11/2024,GMV,"['fpga', 'soc']",Electrónica,No disponible,no disponible,1,6,2024/11/17
['Ingeniero/a de Robótica'],Sevilla,15/11/2024,GMV,"['robotica', 'ros', 'python']",Ingenieros/Industria,No disponible,no disponible,1,2,2024/11/17
['Consultor Funcional en SAP IS-H (Remoto)'],Online,15/11/2024,PSS,"['sap', 'is h']",Consultor,GS,no disponible,1,9,2024/11/17
['HelpDesk'],Bizkaia,15/11/2024,Tuyú Technology,"['soporte', 'helpdesk']",Helpdesk,ESO,7500.0,1,9,2024/11/17
['Arquitecto/a Big Data'],Madrid,15/11/2024,Second Window,"['big data', 'aws', 'azure']",Big Data,GS,no disponible,1,4,2024/11/17
['Service Manager Telecomunicaciones'],Sevilla,15/11/2024,Gestelcom Servicios,"['office', 'remedy']",Técnico de Gestión,GS,no disponible,1,10,2024/11/17
['Analista Programador Cobol Senior'],Madrid,15/11/2024,Digital Talent Agency,"['cobol', 'db2', 'jcl', 'scrum']",Analista Programador,GS,39000.0,4,5,2024/11/17
['Consultor/a SAP Success Factors'],Madrid,15/11/2024,Grupo Digital,"['sap', 'success factors']",Consultor,GS,no disponible,1,1,2024/11/17
['Soporte Sustitución'],Zaragoza,15/11/2024,Serem,"['windows', 'soporte']",Soporte Técnico,GS,no disponible,1,7,2024/11/17
['Consultor/a SAP Group Reporting'],Online,15/11/2024,Grupo Digital,"['sap', 'hana']",Consultor,GS,no disponible,1,10,2024/11/17
['Arquitecto/a IA Generativa'],Online,15/11/2024,Arelance,"['inteligencia artificial', 'generativa', 'ia generativa', 'python', 'cloud nativo', 'google cloud']",Arquitecto TIC,GS,no disponible,2,5,2024/11/17
['Analista Programador cobol'],Madrid,15/11/2024,Krell Consulting & Training,"['cobol', 'db2', 'sql']",Analista Programador,GM,no disponible,1,2,2024/11/17
['Tecnico/a de soporte CAU'],Valencia,15/11/2024,Tuyú Technology,['microinformatica'],Helpdesk,ESO,14.399999999999999,6,15,2024/11/17
['Programador Junior Spark/Scala'],Online,15/11/2024,Serem,"['sql', 'python', 'aws', 'git', 'jenkins', 'scala', 'spark']",Analista Programador,GS,no disponible,1,26,2024/11/17
['Analista Programador Java'],Online,15/11/2024,CMV Consultores,"['java', 'sql', 'spring', 'oracle', 'rest', 'hibernate', 'maven', 'javascript', 'struts']",Analista Programador,GS,no disponible,5,22,2024/11/17
['Ingeniero/a de sistemas DOORS (Aranjuez)'],Madrid,15/11/2024,CAS TRAINING,"['incose', 'doors']",Ingenieros/Industria,Otros titulos,36000.0,1,0,2024/11/17
['Perfil Fullstack con Catalán ¡Remoto!'],Online,15/11/2024,Digital Talent Agency,"['java', 'sql', 'angular', 'spring', 'oracle', 'git', 'data', 'cloud']",Analista Programador,GS,27000.0,1,28,2024/11/17
['Team Leader Infraestructura y Help-Desk'],Madrid,15/11/2024,Sedecal,"['linux', 'azure', 'windows', 'cibersegurid data', 'cloud', 'soporte', 'vmware']",Jefe de Equipo,GS,49500.0,1,82,2024/11/17
['Full Stack Development Internship'],Barcelona,15/11/2024,MVST,"['javascript', 'node.js', 'react']",Programador,No disponible,no disponible,1,8,2024/11/17
['Desarrollador/a Java'],Madrid,15/11/2024,Serbyte Servicios IT,"['java', 'spring', 'hibernate']",Programador,No disponible,no disponible,1,8,2024/11/17
['Desarrollador/a Clarity'],Madrid,15/11/2024,CAS TRAINING,"['clarity', 'jira']",Desarrollador Web,Otros titulos,31500.0,1,0,2024/11/17
